,Gene.id,gene.id,GO.ids
13586,111258712,X.22,GO:0042662
13587,111258712,X.23,GO:0060956
13588,111258712,X.24,GO:0060913
13589,111258712,X.25,GO:0060836
13590,111258712,X.26,GO:0043280
13591,111258712,X.27,GO:0000790
13592,111258712,X.28,GO:0060914
13593,111258712,X.29,GO:0042074
13594,111258712,X.30,GO:0035220
13595,111258712,X.31,GO:0061031
13596,111258712,X.32,GO:0008285
13597,111258712,X.33,GO:0003151
13598,111258712,X.34,GO:0072091
13599,111258712,X.35,GO:0001570
13600,111258712,X.36,GO:0045944
13601,111258712,X.37,GO:0048617
13602,111258712,X.38,GO:0005654
13603,111258712,X.39,GO:0000122
13604,111258712,X.40,GO:0001525
13605,111258712,X.41,GO:0003308
13606,111258712,X.42,GO:0003705
13607,111258712,X.43,GO:0007283
13608,111258712,X.44,GO:0048866
13609,111258712,X.45,GO:0048469
13610,111258712,X.46,GO:0045597
13611,111258712,X.47,GO:0007442
13612,111258712,X.48,GO:0008013
13613,111258712,X.49,GO:0008134
13614,111258712,X.50,GO:0022416
13615,111258712,X.51,GO:0043534
13616,111258712,X.52,GO:0060214
13617,111258712,X.53,GO:0061028
13618,111258712,X.54,GO:0090090
13619,111258712,X.55,GO:0031648
13620,111258712,X.56,GO:0048793
13621,111258712,X.57,GO:0003713
13622,111258712,X.58,GO:1990830
13623,111258712,X.59,GO:0005737
13624,111258712,X.60,GO:0043066
13625,111258712,X.61,GO:0050821
13701,111258717,X,GO:0003677
13702,111258717,X.1,GO:0004518
13838,111258718,X,GO:0008270
13839,111258718,X.1,GO:0003723
13840,111258718,X.2,GO:0005681
13841,111258718,X.3,GO:0000398
13975,111258719,X,GO:0034097
13976,111258719,X.1,GO:0043229
13977,111258719,X.2,GO:0045916
13978,111258719,X.3,GO:0007399
13979,111258719,X.4,GO:0044444
13980,111258719,X.5,GO:0005576
13981,111258719,X.6,GO:0005886
13982,111258719,X.7,GO:0005515
13983,111258719,X.8,GO:0004888
13984,111258719,X.9,GO:0051179
13985,111258719,X.10,GO:0048522
13986,111258719,X.11,GO:0097367
13987,111258719,X.12,GO:0045321
13988,111258719,X.13,GO:0098589
13989,111258719,X.14,GO:0051716
13990,111258719,X.15,GO:0016021
13991,111258719,X.16,GO:0030154
13992,111258719,X.17,GO:0031982
13993,111258719,X.18,GO:0012505
13994,111258719,X.19,GO:0051704
13995,111258719,X.20,GO:0098609
14112,111258728,X,GO:0035023
14113,111258728,X.1,GO:0005089
14249,111258729,X,GO:0003676
14250,111258729,X.1,GO:0005515
14386,111258730,X,GO:0044464
14387,111258730,X.1,GO:0044782
14388,111258730,X.2,GO:0048731
14389,111258730,X.3,GO:0050794
14390,111258730,X.4,GO:0060429
14523,111258731,X,GO:0005515
14660,111258733,X,GO:0003824
14797,111258734,X,GO:0016740
14798,111258734,X.1,GO:0080167
14934,111258739,X,GO:0001669
14935,111258739,X.1,GO:0005615
14936,111258739,X.2,GO:0036126
14937,111258739,X.3,GO:0016787
